id,epic,title,priority,risk,status,owner
FND-001,EP00,Inspect repository and publish baseline orientation report,P0,P0-RECOVERY,COMPLETE,Engineering + human reviewer
FND-002,EP00,Install the version-controlled Build Pack and document index,P0,P0-COMMERCE,COMPLETE,Product/Engineering
FND-003,EP00,Create docs/00-product-vision.md,P0,P2-PRESENTATION,COMPLETE,Founder/Product
FND-004,EP00,Create root AGENTS.md for Codex governance,P0,P0-AUTHORITY,COMPLETE,Engineering + Product
FND-005,EP00,Create repository README and local-start contract,P0,P1-OPERATIONS,COMPLETE,Engineering
FND-006,EP00,"Create issue, pull-request, ADR, and scope-change templates",P0,P0-AUTHORITY,COMPLETE,Engineering/Product/QA
FND-007,EP00,"Create task, decision, and requirement traceability registers",P0,P0-RECOVERY,COMPLETE,QA/Product
FND-008,EP00,Create release-evidence and change-control directories,P0,P0-RECOVERY,COMPLETE,QA/Security
DEV-001,EP01,Initialise pnpm workspace and Turborepo monorepo,P0,P0-COMMERCE,COMPLETE,Engineering
DEV-002,EP01,"Scaffold Next.js, NestJS API, and NestJS Worker runtimes",P0,P0-COMMERCE,COMPLETE,Engineering
DEV-003,EP01,Implement typed environment configuration and secret validation,P0,P0-AUTHORITY,IN_REVIEW,Engineering/Security
DEV-004,EP01,Create Prisma/PostgreSQL foundation and migration discipline,P0,P0-RECOVERY,NOT_STARTED,Engineering/Data
DEV-005,EP01,Create Redis/BullMQ queue and transactional-outbox foundation,P0,P0-RECOVERY,NOT_STARTED,Engineering
DEV-006,EP01,Create deterministic testing package and Testcontainers harness,P0,P0-RECOVERY,NOT_STARTED,QA/Engineering
DEV-007,EP01,Create provider ports and local simulators,P0,P0-FINANCIAL,NOT_STARTED,Engineering/QA
DEV-008,EP01,Create GitHub Actions quality pipeline,P0,P0-RECOVERY,NOT_STARTED,Engineering/QA/Security
DEV-009,EP01,Create preview/staging deployment skeleton,P0,P1-OPERATIONS,NOT_STARTED,DevOps/Engineering
DEV-010,EP01,"Bootstrap OpenTelemetry, structured logging, correlation, and health",P0,P0-RECOVERY,NOT_STARTED,Engineering/DevOps
UI-001,EP02,Implement core and semantic design tokens,P0,P2-PRESENTATION,NOT_STARTED,Design/Web
UI-002,EP02,Implement accessible primitive component set,P0,P1-OPERATIONS,NOT_STARTED,Web/Design/QA
UI-003,EP02,"Implement commerce status, money, timeline, evidence, and action patterns",P0,P0-COMMERCE,NOT_STARTED,Web/Design
UI-004,EP02,Implement Marketplace and Buyer Account shells,P0,P0-COMMERCE,NOT_STARTED,Web
UI-005,EP02,"Implement Seller, Rider, Operations, and Admin shells",P0,P1-OPERATIONS,NOT_STARTED,Web/QA
UI-006,EP02,Create Storybook/component documentation and visual regression,P0,P2-PRESENTATION,NOT_STARTED,Design/Web/QA
